pe_id,throughput,data_size,epoch_size,operation,num_pe
0,272620.51,1,1,fetch-add32,1
0,343397.15,1,2,fetch-add32,1
0,391476.35,1,4,fetch-add32,1
0,418236.89,1,8,fetch-add32,1
0,430461.32,1,16,fetch-add32,1
0,440122.07,1,32,fetch-add32,1
0,443482.29,1,64,fetch-add32,1
0,449817.51,1,128,fetch-add32,1
0,252576.85,1,1,fetch-add32,2
1,252576.64,1,1,fetch-add32,2
0,326690.47,1,2,fetch-add32,2
1,326690.45,1,2,fetch-add32,2
0,378685.12,1,4,fetch-add32,2
1,378685.20,1,4,fetch-add32,2
0,414395.43,1,8,fetch-add32,2
1,414395.42,1,8,fetch-add32,2
0,437872.49,1,16,fetch-add32,2
1,437872.50,1,16,fetch-add32,2
0,451829.74,1,32,fetch-add32,2
1,451829.69,1,32,fetch-add32,2
0,456495.18,1,64,fetch-add32,2
1,456495.14,1,64,fetch-add32,2
0,467862.66,1,128,fetch-add32,2
1,467862.66,1,128,fetch-add32,2
0,181236.07,1,1,fetch-add32,4
1,181235.88,1,1,fetch-add32,4
2,181235.97,1,1,fetch-add32,4
3,181235.90,1,1,fetch-add32,4
0,258540.52,1,2,fetch-add32,4
1,258540.40,1,2,fetch-add32,4
2,258540.54,1,2,fetch-add32,4
3,258540.30,1,2,fetch-add32,4
0,328387.92,1,4,fetch-add32,4
1,328388.62,1,4,fetch-add32,4
2,328388.16,1,4,fetch-add32,4
3,328387.81,1,4,fetch-add32,4
0,383779.59,1,8,fetch-add32,4
1,383779.48,1,8,fetch-add32,4
2,383779.49,1,8,fetch-add32,4
3,383779.58,1,8,fetch-add32,4
0,418768.79,1,16,fetch-add32,4
1,418768.73,1,16,fetch-add32,4
2,418768.80,1,16,fetch-add32,4
3,418768.79,1,16,fetch-add32,4
0,439516.58,1,32,fetch-add32,4
1,439516.50,1,32,fetch-add32,4
2,439516.54,1,32,fetch-add32,4
3,439516.58,1,32,fetch-add32,4
0,453188.74,1,64,fetch-add32,4
1,453188.80,1,64,fetch-add32,4
2,453188.76,1,64,fetch-add32,4
3,453188.80,1,64,fetch-add32,4
0,458337.54,1,128,fetch-add32,4
1,458337.55,1,128,fetch-add32,4
3,458337.53,1,128,fetch-add32,4
0,111493.53,1,1,fetch-add32,8
1,111493.45,1,1,fetch-add32,8
2,111493.49,1,1,fetch-add32,8
3,111493.49,1,1,fetch-add32,8
4,111493.50,1,1,fetch-add32,8
5,111493.52,1,1,fetch-add32,8
6,111493.52,1,1,fetch-add32,8
7,111493.46,1,1,fetch-add32,8
0,181593.62,1,2,fetch-add32,8
1,181592.51,1,2,fetch-add32,8
2,181592.48,1,2,fetch-add32,8
3,181592.82,1,2,fetch-add32,8
4,181592.92,1,2,fetch-add32,8
5,181593.18,1,2,fetch-add32,8
6,181593.45,1,2,fetch-add32,8
7,181593.62,1,2,fetch-add32,8
0,254827.51,1,4,fetch-add32,8
1,254827.47,1,4,fetch-add32,8
2,254827.42,1,4,fetch-add32,8
3,254827.44,1,4,fetch-add32,8
4,254827.43,1,4,fetch-add32,8
5,254827.47,1,4,fetch-add32,8
6,254827.49,1,4,fetch-add32,8
7,254827.43,1,4,fetch-add32,8
0,329314.77,1,8,fetch-add32,8
1,329314.60,1,8,fetch-add32,8
2,329314.54,1,8,fetch-add32,8
3,329314.80,1,8,fetch-add32,8
4,329314.71,1,8,fetch-add32,8
5,329314.74,1,8,fetch-add32,8
6,329314.69,1,8,fetch-add32,8
7,329314.71,1,8,fetch-add32,8
0,378917.01,1,16,fetch-add32,8
1,378916.54,1,16,fetch-add32,8
2,378916.53,1,16,fetch-add32,8
3,378916.48,1,16,fetch-add32,8
4,378916.75,1,16,fetch-add32,8
5,378916.79,1,16,fetch-add32,8
6,378916.93,1,16,fetch-add32,8
7,378917.02,1,16,fetch-add32,8
0,414973.48,1,32,fetch-add32,8
1,414973.15,1,32,fetch-add32,8
2,414973.30,1,32,fetch-add32,8
3,414973.35,1,32,fetch-add32,8
4,414973.41,1,32,fetch-add32,8
5,414973.50,1,32,fetch-add32,8
6,414973.42,1,32,fetch-add32,8
7,414973.46,1,32,fetch-add32,8
0,434628.16,1,64,fetch-add32,8
1,434628.09,1,64,fetch-add32,8
2,434628.20,1,64,fetch-add32,8
3,434628.11,1,64,fetch-add32,8
4,434628.08,1,64,fetch-add32,8
5,434628.11,1,64,fetch-add32,8
6,434628.09,1,64,fetch-add32,8
7,434628.08,1,64,fetch-add32,8
0,446523.60,1,128,fetch-add32,8
1,446523.60,1,128,fetch-add32,8
2,446523.59,1,128,fetch-add32,8
3,446523.61,1,128,fetch-add32,8
4,446523.62,1,128,fetch-add32,8
5,446523.63,1,128,fetch-add32,8
6,446523.61,1,128,fetch-add32,8
7,446523.58,1,128,fetch-add32,8
0,63739.82,1,1,fetch-add32,16
1,63739.74,1,1,fetch-add32,16
2,63739.75,1,1,fetch-add32,16
3,63739.75,1,1,fetch-add32,16
4,63739.78,1,1,fetch-add32,16
5,63739.77,1,1,fetch-add32,16
6,63739.75,1,1,fetch-add32,16
7,63739.78,1,1,fetch-add32,16
8,63739.84,1,1,fetch-add32,16
9,63739.86,1,1,fetch-add32,16
10,63739.80,1,1,fetch-add32,16
11,63739.82,1,1,fetch-add32,16
12,63739.80,1,1,fetch-add32,16
13,63739.82,1,1,fetch-add32,16
14,63739.80,1,1,fetch-add32,16
15,63739.79,1,1,fetch-add32,16
0,111485.09,1,2,fetch-add32,16
1,111484.88,1,2,fetch-add32,16
2,111484.90,1,2,fetch-add32,16
3,111485.00,1,2,fetch-add32,16
4,111484.97,1,2,fetch-add32,16
5,111485.03,1,2,fetch-add32,16
6,111484.98,1,2,fetch-add32,16
7,111484.84,1,2,fetch-add32,16
8,111484.81,1,2,fetch-add32,16
9,111484.79,1,2,fetch-add32,16
10,111484.84,1,2,fetch-add32,16
11,111484.91,1,2,fetch-add32,16
12,111484.94,1,2,fetch-add32,16
13,111485.04,1,2,fetch-add32,16
14,111485.10,1,2,fetch-add32,16
15,111485.09,1,2,fetch-add32,16
0,179506.56,1,4,fetch-add32,16
1,179506.73,1,4,fetch-add32,16
2,179506.64,1,4,fetch-add32,16
3,179506.64,1,4,fetch-add32,16
4,179506.56,1,4,fetch-add32,16
5,179506.51,1,4,fetch-add32,16
6,179506.51,1,4,fetch-add32,16
7,179506.52,1,4,fetch-add32,16
8,179506.55,1,4,fetch-add32,16
9,179506.52,1,4,fetch-add32,16
10,179506.54,1,4,fetch-add32,16
11,179506.49,1,4,fetch-add32,16
12,179506.56,1,4,fetch-add32,16
13,179506.53,1,4,fetch-add32,16
14,179506.54,1,4,fetch-add32,16
15,179506.45,1,4,fetch-add32,16
0,255963.87,1,8,fetch-add32,16
1,255963.72,1,8,fetch-add32,16
2,255963.69,1,8,fetch-add32,16
3,255963.67,1,8,fetch-add32,16
4,255963.82,1,8,fetch-add32,16
5,255963.85,1,8,fetch-add32,16
6,255963.88,1,8,fetch-add32,16
7,255963.95,1,8,fetch-add32,16
8,255963.88,1,8,fetch-add32,16
9,255963.92,1,8,fetch-add32,16
10,255963.81,1,8,fetch-add32,16
11,255963.80,1,8,fetch-add32,16
12,255963.82,1,8,fetch-add32,16
13,255963.81,1,8,fetch-add32,16
14,255963.84,1,8,fetch-add32,16
15,255963.81,1,8,fetch-add32,16
0,324795.64,1,16,fetch-add32,16
1,324795.31,1,16,fetch-add32,16
2,324795.30,1,16,fetch-add32,16
3,324795.32,1,16,fetch-add32,16
4,324795.46,1,16,fetch-add32,16
5,324795.44,1,16,fetch-add32,16
6,324795.43,1,16,fetch-add32,16
7,324795.45,1,16,fetch-add32,16
8,324795.45,1,16,fetch-add32,16
9,324795.46,1,16,fetch-add32,16
10,324795.45,1,16,fetch-add32,16
11,324795.60,1,16,fetch-add32,16
12,324795.60,1,16,fetch-add32,16
13,324795.59,1,16,fetch-add32,16
14,324795.59,1,16,fetch-add32,16
15,324795.55,1,16,fetch-add32,16
0,373742.19,1,32,fetch-add32,16
1,373742.30,1,32,fetch-add32,16
2,373742.33,1,32,fetch-add32,16
3,373742.35,1,32,fetch-add32,16
4,373742.38,1,32,fetch-add32,16
5,373742.29,1,32,fetch-add32,16
6,373742.29,1,32,fetch-add32,16
7,373742.27,1,32,fetch-add32,16
8,373742.31,1,32,fetch-add32,16
9,373742.34,1,32,fetch-add32,16
10,373742.32,1,32,fetch-add32,16
11,373742.31,1,32,fetch-add32,16
12,373742.25,1,32,fetch-add32,16
13,373742.22,1,32,fetch-add32,16
14,373742.20,1,32,fetch-add32,16
15,373742.15,1,32,fetch-add32,16
0,404013.48,1,64,fetch-add32,16
1,404013.48,1,64,fetch-add32,16
2,404013.53,1,64,fetch-add32,16
3,404013.55,1,64,fetch-add32,16
4,404013.47,1,64,fetch-add32,16
5,404013.52,1,64,fetch-add32,16
6,404013.55,1,64,fetch-add32,16
7,404013.44,1,64,fetch-add32,16
8,404013.59,1,64,fetch-add32,16
9,404013.46,1,64,fetch-add32,16
10,404013.37,1,64,fetch-add32,16
11,404013.49,1,64,fetch-add32,16
12,404013.41,1,64,fetch-add32,16
13,404013.46,1,64,fetch-add32,16
14,404013.42,1,64,fetch-add32,16
15,404013.45,1,64,fetch-add32,16
0,423536.63,1,128,fetch-add32,16
1,423536.72,1,128,fetch-add32,16
2,423536.69,1,128,fetch-add32,16
3,423536.72,1,128,fetch-add32,16
4,423536.71,1,128,fetch-add32,16
5,423536.67,1,128,fetch-add32,16
6,423536.67,1,128,fetch-add32,16
7,423536.72,1,128,fetch-add32,16
8,423536.69,1,128,fetch-add32,16
9,423536.69,1,128,fetch-add32,16
10,423536.69,1,128,fetch-add32,16
11,423536.66,1,128,fetch-add32,16
12,423536.68,1,128,fetch-add32,16
13,423536.69,1,128,fetch-add32,16
14,423536.66,1,128,fetch-add32,16
15,423536.68,1,128,fetch-add32,16
0,33051.84,1,1,fetch-add32,32
1,33051.83,1,1,fetch-add32,32
2,33051.83,1,1,fetch-add32,32
3,33051.83,1,1,fetch-add32,32
4,33051.82,1,1,fetch-add32,32
5,33051.82,1,1,fetch-add32,32
6,33051.83,1,1,fetch-add32,32
7,33051.83,1,1,fetch-add32,32
8,33051.84,1,1,fetch-add32,32
9,33051.84,1,1,fetch-add32,32
10,33051.84,1,1,fetch-add32,32
11,33051.84,1,1,fetch-add32,32
12,33051.84,1,1,fetch-add32,32
13,33051.84,1,1,fetch-add32,32
14,33051.83,1,1,fetch-add32,32
15,33051.84,1,1,fetch-add32,32
16,33051.83,1,1,fetch-add32,32
17,33051.83,1,1,fetch-add32,32
18,33051.84,1,1,fetch-add32,32
19,33051.84,1,1,fetch-add32,32
20,33051.83,1,1,fetch-add32,32
21,33051.84,1,1,fetch-add32,32
22,33051.84,1,1,fetch-add32,32
23,33051.84,1,1,fetch-add32,32
24,33051.84,1,1,fetch-add32,32
25,33051.84,1,1,fetch-add32,32
26,33051.84,1,1,fetch-add32,32
27,33051.84,1,1,fetch-add32,32
28,33051.84,1,1,fetch-add32,32
29,33051.84,1,1,fetch-add32,32
30,33051.84,1,1,fetch-add32,32
31,33051.84,1,1,fetch-add32,32
0,42043.67,1,2,fetch-add32,32
1,42043.44,1,2,fetch-add32,32
2,42043.44,1,2,fetch-add32,32
3,42043.44,1,2,fetch-add32,32
4,42043.42,1,2,fetch-add32,32
5,42043.43,1,2,fetch-add32,32
6,42043.43,1,2,fetch-add32,32
7,42043.44,1,2,fetch-add32,32
8,42043.45,1,2,fetch-add32,32
9,42043.48,1,2,fetch-add32,32
10,42043.47,1,2,fetch-add32,32
11,42043.49,1,2,fetch-add32,32
12,42043.49,1,2,fetch-add32,32
13,42043.50,1,2,fetch-add32,32
14,42043.51,1,2,fetch-add32,32
15,42043.52,1,2,fetch-add32,32
16,42043.53,1,2,fetch-add32,32
17,42043.53,1,2,fetch-add32,32
18,42043.55,1,2,fetch-add32,32
19,42043.55,1,2,fetch-add32,32
20,42043.57,1,2,fetch-add32,32
21,42043.57,1,2,fetch-add32,32
22,42043.58,1,2,fetch-add32,32
23,42043.59,1,2,fetch-add32,32
24,42043.60,1,2,fetch-add32,32
25,42043.60,1,2,fetch-add32,32
26,42043.62,1,2,fetch-add32,32
27,42043.63,1,2,fetch-add32,32
28,42043.64,1,2,fetch-add32,32
29,42043.64,1,2,fetch-add32,32
30,42043.65,1,2,fetch-add32,32
31,42043.66,1,2,fetch-add32,32
0,57708.62,1,4,fetch-add32,32
1,57708.43,1,4,fetch-add32,32
2,57708.44,1,4,fetch-add32,32
3,57708.43,1,4,fetch-add32,32
4,57708.42,1,4,fetch-add32,32
5,57708.41,1,4,fetch-add32,32
6,57708.42,1,4,fetch-add32,32
7,57708.42,1,4,fetch-add32,32
8,57708.41,1,4,fetch-add32,32
9,57708.41,1,4,fetch-add32,32
10,57708.42,1,4,fetch-add32,32
11,57708.42,1,4,fetch-add32,32
12,57708.44,1,4,fetch-add32,32
13,57708.44,1,4,fetch-add32,32
14,57708.46,1,4,fetch-add32,32
15,57708.47,1,4,fetch-add32,32
16,57708.49,1,4,fetch-add32,32
17,57708.48,1,4,fetch-add32,32
18,57708.49,1,4,fetch-add32,32
19,57708.50,1,4,fetch-add32,32
20,57708.50,1,4,fetch-add32,32
21,57708.52,1,4,fetch-add32,32
22,57708.53,1,4,fetch-add32,32
23,57708.54,1,4,fetch-add32,32
24,57708.55,1,4,fetch-add32,32
25,57708.56,1,4,fetch-add32,32
26,57708.57,1,4,fetch-add32,32
27,57708.57,1,4,fetch-add32,32
28,57708.58,1,4,fetch-add32,32
29,57708.59,1,4,fetch-add32,32
30,57708.60,1,4,fetch-add32,32
31,57708.61,1,4,fetch-add32,32
0,84180.08,1,8,fetch-add32,32
1,84180.40,1,8,fetch-add32,32
2,84180.40,1,8,fetch-add32,32
3,84180.39,1,8,fetch-add32,32
4,84180.36,1,8,fetch-add32,32
5,84180.36,1,8,fetch-add32,32
6,84180.34,1,8,fetch-add32,32
7,84180.33,1,8,fetch-add32,32
8,84180.32,1,8,fetch-add32,32
9,84180.30,1,8,fetch-add32,32
10,84180.30,1,8,fetch-add32,32
11,84180.28,1,8,fetch-add32,32
12,84180.27,1,8,fetch-add32,32
13,84180.27,1,8,fetch-add32,32
14,84180.25,1,8,fetch-add32,32
15,84180.24,1,8,fetch-add32,32
16,84180.23,1,8,fetch-add32,32
17,84180.22,1,8,fetch-add32,32
18,84180.21,1,8,fetch-add32,32
19,84180.20,1,8,fetch-add32,32
20,84180.19,1,8,fetch-add32,32
21,84180.18,1,8,fetch-add32,32
22,84180.17,1,8,fetch-add32,32
23,84180.15,1,8,fetch-add32,32
24,84180.14,1,8,fetch-add32,32
25,84180.14,1,8,fetch-add32,32
26,84180.12,1,8,fetch-add32,32
27,84180.12,1,8,fetch-add32,32
28,84180.10,1,8,fetch-add32,32
29,84180.10,1,8,fetch-add32,32
30,84180.09,1,8,fetch-add32,32
31,84180.06,1,8,fetch-add32,32
0,121649.65,1,16,fetch-add32,32
1,121649.77,1,16,fetch-add32,32
2,121649.76,1,16,fetch-add32,32
3,121649.73,1,16,fetch-add32,32
4,121649.74,1,16,fetch-add32,32
5,121649.75,1,16,fetch-add32,32
6,121649.75,1,16,fetch-add32,32
7,121649.75,1,16,fetch-add32,32
8,121649.73,1,16,fetch-add32,32
9,121649.74,1,16,fetch-add32,32
10,121649.77,1,16,fetch-add32,32
11,121649.75,1,16,fetch-add32,32
12,121649.75,1,16,fetch-add32,32
13,121649.71,1,16,fetch-add32,32
14,121649.76,1,16,fetch-add32,32
15,121649.76,1,16,fetch-add32,32
16,121649.75,1,16,fetch-add32,32
17,121649.75,1,16,fetch-add32,32
18,121649.77,1,16,fetch-add32,32
19,121649.78,1,16,fetch-add32,32
20,121649.75,1,16,fetch-add32,32
21,121649.77,1,16,fetch-add32,32
22,121649.73,1,16,fetch-add32,32
23,121649.76,1,16,fetch-add32,32
24,121649.72,1,16,fetch-add32,32
25,121649.75,1,16,fetch-add32,32
26,121649.71,1,16,fetch-add32,32
27,121649.76,1,16,fetch-add32,32
28,121649.74,1,16,fetch-add32,32
29,121649.72,1,16,fetch-add32,32
30,121649.70,1,16,fetch-add32,32
31,121649.69,1,16,fetch-add32,32
0,153326.48,1,32,fetch-add32,32
1,153326.61,1,32,fetch-add32,32
2,153326.61,1,32,fetch-add32,32
3,153326.60,1,32,fetch-add32,32
4,153326.59,1,32,fetch-add32,32
5,153326.60,1,32,fetch-add32,32
6,153326.62,1,32,fetch-add32,32
7,153326.62,1,32,fetch-add32,32
8,153326.65,1,32,fetch-add32,32
9,153326.64,1,32,fetch-add32,32
10,153326.65,1,32,fetch-add32,32
11,153326.66,1,32,fetch-add32,32
12,153326.65,1,32,fetch-add32,32
13,153326.63,1,32,fetch-add32,32
14,153326.66,1,32,fetch-add32,32
15,153326.62,1,32,fetch-add32,32
16,153326.62,1,32,fetch-add32,32
17,153326.62,1,32,fetch-add32,32
18,153326.62,1,32,fetch-add32,32
19,153326.60,1,32,fetch-add32,32
20,153326.60,1,32,fetch-add32,32
21,153326.61,1,32,fetch-add32,32
22,153326.59,1,32,fetch-add32,32
23,153326.57,1,32,fetch-add32,32
24,153326.57,1,32,fetch-add32,32
25,153326.56,1,32,fetch-add32,32
26,153326.52,1,32,fetch-add32,32
27,153326.54,1,32,fetch-add32,32
28,153326.54,1,32,fetch-add32,32
29,153326.50,1,32,fetch-add32,32
30,153326.52,1,32,fetch-add32,32
31,153326.51,1,32,fetch-add32,32
0,176064.95,1,64,fetch-add32,32
1,176065.13,1,64,fetch-add32,32
2,176065.15,1,64,fetch-add32,32
3,176065.14,1,64,fetch-add32,32
4,176065.16,1,64,fetch-add32,32
5,176065.12,1,64,fetch-add32,32
6,176065.13,1,64,fetch-add32,32
7,176065.12,1,64,fetch-add32,32
8,176065.10,1,64,fetch-add32,32
9,176065.12,1,64,fetch-add32,32
10,176065.11,1,64,fetch-add32,32
11,176065.11,1,64,fetch-add32,32
12,176065.09,1,64,fetch-add32,32
13,176065.10,1,64,fetch-add32,32
14,176065.08,1,64,fetch-add32,32
15,176065.06,1,64,fetch-add32,32
16,176065.06,1,64,fetch-add32,32
17,176065.05,1,64,fetch-add32,32
18,176065.04,1,64,fetch-add32,32
19,176065.04,1,64,fetch-add32,32
20,176065.04,1,64,fetch-add32,32
21,176065.02,1,64,fetch-add32,32
22,176065.01,1,64,fetch-add32,32
23,176065.02,1,64,fetch-add32,32
24,176064.99,1,64,fetch-add32,32
25,176065.00,1,64,fetch-add32,32
26,176064.99,1,64,fetch-add32,32
27,176064.99,1,64,fetch-add32,32
28,176064.98,1,64,fetch-add32,32
29,176064.97,1,64,fetch-add32,32
30,176064.97,1,64,fetch-add32,32
31,176064.94,1,64,fetch-add32,32
0,184473.07,1,128,fetch-add32,32
1,184473.23,1,128,fetch-add32,32
2,184473.22,1,128,fetch-add32,32
3,184473.22,1,128,fetch-add32,32
4,184473.22,1,128,fetch-add32,32
5,184473.21,1,128,fetch-add32,32
6,184473.20,1,128,fetch-add32,32
7,184473.20,1,128,fetch-add32,32
8,184473.19,1,128,fetch-add32,32
9,184473.19,1,128,fetch-add32,32
10,184473.18,1,128,fetch-add32,32
11,184473.17,1,128,fetch-add32,32
12,184473.17,1,128,fetch-add32,32
13,184473.16,1,128,fetch-add32,32
14,184473.15,1,128,fetch-add32,32
15,184473.14,1,128,fetch-add32,32
